ParkID,FacilityCount,FacilityType,FacilityURL
1,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
1,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
2,1,Field Houses,
2,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
2,2,Softball,
2,3,Baseball Diamonds,
2,1,Football Fields,
2,1,Soccer Fields,
2,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
2,1,Washrooms,
3,1,Soccer Fields,
3,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
3,1,Jogging Trails,
4,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
5,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
6,2,Baseball Diamonds,
6,1,Field Houses,
6,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
6,2,Soccer Fields,
6,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
6,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
6,1,Disc Golf Courses,
6,1,Jogging Trails,
6,1,Washrooms,
6,1,Skateboard Parks,//vancouver.ca/parks-recreation-culture/skateboard-parks.aspx
6,1,Washrooms,
7,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
8,1,Baseball Diamonds,
8,1,Cricket Pitches,
8,1,Field Houses,
8,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
8,2,Soccer Fields,
8,2,Softball,
8,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
8,1,Washrooms,
8,1,Ultimate Fields,
9,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
9,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
10,1,Field Houses,
10,2,Field Hockey,
10,3,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
10,1,Softball,
10,1,Football Fields,
10,1,Lighted Fields,
10,2,Soccer Fields,
10,2,Tennis Courts,
10,1,Basketball Courts,
10,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
10,1,Skateboard Parks,//vancouver.ca/parks-recreation-culture/skateboard-parks.aspx
10,2,Ultimate Fields,
10,1,Washrooms,
11,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
12,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
13,1,Community Halls,
13,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
14,1,Skateboard Parks,//vancouver.ca/parks-recreation-culture/skateboard-parks.aspx
14,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
14,1,Basketball Courts,
14,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
14,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
15,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
15,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
16,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
16,1,Soccer Fields,
16,2,Basketball Courts,
16,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
16,2,Tennis Courts,
16,1,Washrooms,
18,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
18,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
19,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
20,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
20,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
20,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
21,1,Water/Spray Parks,
21,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
21,1,Washrooms,
21,1,Restaurants,//vancouver.ca/parks-recreation-culture/restaurants-and-snack-bars.aspx
23,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
24,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
25,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
26,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
27,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
28,1,Field Houses,
28,2,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
28,1,Water/Spray Parks,
28,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
28,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
28,1,Washrooms,
29,1,Community Centres,//vancouver.ca/parks-recreation-culture/community-and-cultural-centres.aspx
29,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
30,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
31,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
32,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
34,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
34,1,Softball,
34,1,Wading Pool,
34,1,Lighted Fields,
34,1,Rugby Fields,
34,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
34,1,Running Tracks,
34,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
34,1,Washrooms,
34,1,Ultimate Fields,
35,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
37,1,Field Houses,
37,2,Soccer Fields,
37,2,Baseball Diamonds,
37,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
37,1,Water/Spray Parks,
37,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
37,1,Washrooms,
38,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
39,2,Baseball Diamonds,
39,1,Bowling Greens,
39,1,Community Centres,//vancouver.ca/parks-recreation-culture/community-and-cultural-centres.aspx
39,1,Field Houses,
39,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
39,1,Soccer Fields,
39,6,Tennis Courts,
39,1,Basketball Courts,
39,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
39,1,Washrooms,
40,2,Soccer Fields,
40,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
40,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
41,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
42,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
42,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
43,1,Soccer Fields,
43,5,Tennis Courts,
43,2,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
43,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
43,1,Dogs Off-Leash Areas,//vancouver.ca/parks-recreation-culture/dog-off-leash-areas.aspx
44,1,Field Houses,
44,4,Tennis Courts,
44,2,Bowling Greens,
44,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
44,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
44,1,Washrooms,
45,2,Tennis Courts,
45,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
45,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
47,1,Basketball Courts,
47,2,Tennis Courts,
47,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
47,1,Ball Hockey,
48,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
49,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
50,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
51,1,Field Houses,
51,2,Tennis Courts,
51,1,Parks,//vancouver.ca/parks-recreation-culture.aspx
51,1,Basketball Courts,
51,1,Water/Spray Parks,
51,1,Ball Hockey,
51,1,Soccer Fields,
51,1,Washrooms,
52,1,Playgrounds,//vancouver.ca/parks-recreation-culture/summer-playground-programs.aspx
52,1,Field Houses,
52,1,Water/Spray Parks,
